timestamp,price,market_cap,total_volume
2022-08-03 03:00:00,23053.84684748268,440954684720.7478,35151096516.75639
2022-08-04 03:00:00,22860.42098438317,437035641450.2815,41334593234.075066
2022-08-05 03:00:00,22678.363633874185,432420621055.8012,23624874220.429745
2022-08-06 03:00:00,23225.036201942938,443821669890.4801,27040190909.828075
2022-08-07 03:00:00,22984.57953144855,439414782173.1877,14439694271.14074
2022-08-08 03:00:00,23197.603469525384,442979379284.1196,14324042469.270954
2022-08-09 03:00:00,23823.67944245361,455450642522.2554,27756736787.028625
2022-08-10 03:00:00,23203.680696781623,443382534834.6949,29738069337.77638
2022-08-11 03:00:00,23948.829553271637,457270455537.3291,32215976525.650154
2022-08-12 03:00:00,23948.75170368143,458070674127.7904,33892871243.716595
2022-08-13 03:00:00,24411.37987152261,466765701334.6809,25195193357.103275
2022-08-14 03:00:00,24433.653747243658,467078368768.6749,22240559959.52209
2022-08-15 03:00:00,24312.54142489156,464896345363.0234,21287616855.70449
2022-08-16 03:00:00,24179.0146523092,462437221425.1544,33404812507.80541
2022-08-17 03:00:00,23913.333725628458,456791042838.0383,24971300201.368164
2022-08-18 03:00:00,23359.418837070007,447015816173.3428,29567403252.00121
2022-08-19 03:00:00,23248.38422819264,444845955425.38696,20228208349.156567
2022-08-20 03:00:00,20945.8339660496,400810425580.64777,35142410593.122185
2022-08-21 03:00:00,21175.232732989512,404924875533.8922,23809679190.922188
2022-08-22 03:00:00,21615.761693416986,413578924865.8514,20476237108.35153
2022-08-23 03:00:00,21387.747114773963,408409110509.79584,28856912427.17573
2022-08-24 03:00:00,21562.45153991356,412338357271.396,29331102121.79332
2022-08-25 03:00:00,21395.45846975991,409503007623.0169,26855905243.36116
2022-08-26 03:00:00,21618.009019176647,413843488595.5175,26767966536.315014
2022-08-27 03:00:00,20271.322951706014,387215087166.7839,34910727805.04114
2022-08-28 03:00:00,20069.9533315962,383790676113.79205,24463219414.743477
2022-08-29 03:00:00,19659.24670619362,376180531070.6233,19781826309.451183
2022-08-30 03:00:00,20308.861447891457,389119405471.2333,28706315246.140064
2022-08-31 03:00:00,19805.35069885804,379555151404.602,30308993725.45616
2022-09-01 03:00:00,20023.55444491251,383348414528.7825,27825786159.8556
2022-09-02 03:00:00,20153.975977982507,385027707310.6654,25616737335.88055
2022-09-03 03:00:00,19941.45137004716,381788074511.76855,24078042298.340076
2022-09-04 03:00:00,19814.5642451146,379422449024.2574,20048153187.39969
2022-09-05 03:00:00,19980.01322224228,382421043401.0045,21537524477.36904
2022-09-06 03:00:00,19785.73350185514,378685143698.17633,23522961655.00036
2022-09-07 03:00:00,18859.50008768028,361210437263.86273,39940310406.47586
2022-09-08 03:00:00,19280.62547645678,369340091982.8708,30517907004.082462
2022-09-09 03:00:00,19322.77774937157,369723445425.44885,28936941008.35892
2022-09-10 03:00:00,21359.58252557909,408976281844.7646,42487059054.97593
2022-09-11 03:00:00,21707.38731931814,415974687298.0947,35941349745.24438
2022-09-12 03:00:00,21739.80437979554,416073628622.0949,31266252145.35619
2022-09-13 03:00:00,22339.67050262336,427473787888.3761,44006486689.44507
2022-09-14 03:00:00,20184.96749189655,386529657258.8565,46489890914.82466
2022-09-15 03:00:00,20255.922978327133,387486232249.8002,35789015870.392235
2022-09-16 03:00:00,19702.16988981172,377719382182.4472,33715957206.68328
2022-09-17 03:00:00,19764.411712043777,377988702161.6817,30187737709.58007
2022-09-18 03:00:00,20131.675305714027,385486747327.04944,23394494073.784782
2022-09-19 03:00:00,19437.157867982634,372598380208.2709,28689764413.699097
2022-09-20 03:00:00,19570.386709523507,374524246937.4287,39507938864.87854
2022-09-21 03:00:00,18869.92880939053,361980678159.1343,33890591849.676517
2022-09-22 03:00:00,18539.63523831258,355194467885.9514,41059997264.96848
2022-09-23 03:00:00,19464.322663348463,372075639498.16974,37660914389.8923
2022-09-24 03:00:00,19291.904802452067,370913140447.5164,35506139423.901344
2022-09-25 03:00:00,18939.97058049937,363168779956.3335,24644354421.61794
2022-09-26 03:00:00,18809.41143933244,360256894978.40894,21516374222.67532
2022-09-27 03:00:00,19219.727780656474,367613056759.2221,42560193944.41844
2022-09-28 03:00:00,19116.33116071044,366383164263.7157,52482615483.86207
2022-09-29 03:00:00,19444.78777136297,372892084645.0075,47494258189.70422
2022-09-30 03:00:00,19563.765161776904,374830625219.6003,37537716230.48356
2022-10-01 03:00:00,19476.92659600407,373222100680.7475,37848666330.67224
2022-10-02 03:00:00,19314.463835217448,370204708063.3375,15943514602.722157
2022-10-03 03:00:00,19065.153837148988,366195863790.6755,17859684587.64641
2022-10-04 03:00:00,19620.567543591394,375767908259.0832,26634227151.925247
2022-10-05 03:00:00,20345.398520106643,390177741507.47705,30974520027.94433
2022-10-06 03:00:00,20161.830614985047,386368899196.38165,29366342083.10176
2022-10-07 03:00:00,19949.051041418512,382505641462.1564,31354758329.142307
2022-10-08 03:00:00,19457.308951251147,373170861484.1397,25445042398.33797
2022-10-09 03:00:00,19418.037989243952,372391945609.07526,12996183216.30484
2022-10-10 03:00:00,19448.14900175761,372264710552.3351,14404623229.04686
2022-10-11 03:00:00,19142.69476739289,367207056773.2261,23743487600.53748
2022-10-12 03:00:00,19058.628039738272,365118514776.268,25102717820.99086
2022-10-13 03:00:00,19153.039779986982,367301644901.367,22339104401.38417
2022-10-14 03:00:00,19383.9432200889,371647189087.476,37194496437.924
2022-10-15 03:00:00,19198.107144951755,367584653730.7548,34806651159.13548
2022-10-16 03:00:00,19072.780513358884,365870425566.53,13103099352.405506
2022-10-17 03:00:00,19272.92184777201,369552982160.5376,15683330320.159586
2022-10-18 03:00:00,19557.895548868444,375052275829.7958,23713928577.519844
2022-10-19 03:00:00,19348.02936881037,371196833238.99286,25848175158.687187
2022-10-20 03:00:00,19134.242664465204,367085331987.69183,23047051893.294765
2022-10-21 03:00:00,19031.15987195947,365098952754.63934,25712511231.935688
2022-10-22 03:00:00,19173.28046885863,367999082249.1525,30297335038.197
2022-10-23 03:00:00,19203.86547117714,368484939423.5548,13362526957.65784
